Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,8,0.75,0.717948717948718,0.8365384615384616,0.7631578947368421,0.7981651376146789,0.7437343358395989,1.1758966189809144
dcgan,8,1.0,0.782051282051282,0.8448275862068966,0.8596491228070176,0.8521739130434782,0.7865497076023392,1.3045606529340148
dcgan,8,1.5,0.7564102564102564,0.7602739726027398,0.9736842105263158,0.8538461538461538,0.7736006683375104,1.5663769147358835
dcgan,9,0.25,0.717948717948718,0.85,0.7456140350877193,0.794392523364486,0.7652464494569758,0.9038382777944207
dcgan,9,0.5,0.8076923076923077,0.8134328358208955,0.956140350877193,0.8790322580645161,0.810359231411863,1.0394712719134986
dcgan,9,0.75,0.7948717948717948,0.8727272727272727,0.8421052631578947,0.8571428571428571,0.8293650793650794,1.157023681793362
dcgan,9,1.0,0.8076923076923077,0.795774647887324,0.9912280701754386,0.8828125,0.7919799498746867,1.305088649969548
dcgan,9,1.5,0.7884615384615384,0.8785046728971962,0.8245614035087719,0.8506787330316742,0.8379281537176274,1.569993192795664
dcgan,10,0.25,0.7756410256410257,0.8376068376068376,0.8596491228070176,0.8484848484848485,0.7921888053467001,0.9151164619252086
dcgan,10,0.5,0.7948717948717948,0.847457627118644,0.8771929824561403,0.8620689655172413,0.8164160401002505,1.0354910977184772
dcgan,10,0.75,0.8269230769230769,0.859504132231405,0.9122807017543859,0.8851063829787233,0.8226817042606517,1.1710522193461657
dcgan,10,1.0,0.782051282051282,0.9444444444444444,0.7456140350877193,0.8333333333333334,0.8418964076858814,1.2901489716023207
dcgan,10,1.5,0.8076923076923077,0.868421052631579,0.868421052631579,0.868421052631579,0.8517126148705096,1.5533749470487237
dcgan,11,0.25,0.7435897435897436,0.8083333333333333,0.8508771929824561,0.8290598290598291,0.7527151211361738,0.8998564970679581
dcgan,11,0.5,0.782051282051282,0.8076923076923077,0.9210526315789473,0.860655737704918,0.7857142857142857,1.03611533716321
dcgan,11,0.75,0.7884615384615384,0.8091603053435115,0.9298245614035088,0.8653061224489796,0.7702589807852966,1.1552441432140768
dcgan,11,1.0,0.7884615384615384,0.8715596330275229,0.8333333333333334,0.852017937219731,0.8287385129490392,1.2832203558646142
