strategy,gan_run_id,generation_run_id,num_rows,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,gan_training_time_sec_mean,gan_training_time_sec_std,synthetic_generation_time_sec_mean,synthetic_generation_time_sec_std,classifier_training_time_sec_mean,classifier_training_time_sec_std,classifier_eval_time_sec_mean,classifier_eval_time_sec_std,ratio_mean,ratio_std,synthetic_class0_count_mean,synthetic_class0_count_std,synthetic_class1_count_mean,synthetic_class1_count_std,total_synthetic_count_mean,total_synthetic_count_std,balanced_dataset_size_mean,balanced_dataset_size_std,total_real_samples_mean,total_real_samples_std,real_class0_count_mean,real_class0_count_std,real_class1_count_mean,real_class1_count_std
baseline,3,4,10,0.7391025641025641,0.021270076952611624,0.756480994968417,0.03216348590545559,0.9570175438596491,0.07889374397121895,0.8416916490386516,0.021674327943192302,0.5523182957393484,0.05845985541384958,6.2,7.8460180983732135,35.8,7.846018098373213,4.9,8.99388681271896,109.1,8.99388681271896,0.0,0.0,0.0,0.0,0.2967437028884888,0.008655822486189327,0.1125412940979004,0.0011194097607032244,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,3,5,10,0.7391025641025641,0.01648071811818263,0.7560434419758406,0.026059166717123022,0.9552631578947368,0.06475205450512482,0.8419140261186591,0.015596739750656877,0.5538220551378445,0.05183749478942394,6.4,6.8,35.6,6.8,5.1,7.38173421358423,108.9,7.38173421358423,0.0,0.0,0.0,0.0,0.3035048723220825,0.00543952830396749,0.11266036033630371,0.0008083356163749488,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,3,6,10,0.7307692307692308,0.006410256410256421,0.7385882577066538,0.014063594866209504,0.9798245614035087,0.04133990058929184,0.8414798251978116,0.008692224218322967,0.5172932330827067,0.02933000159241125,2.3,4.148493702538308,39.7,4.148493702538308,2.3,4.71274866717927,111.7,4.712748667179271,0.0,0.0,0.0,0.0,0.2924976348876953,0.008210516923190561,0.1120882511138916,0.0012257519764668496,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,4,1,10,0.7288461538461538,0.03705216927338057,0.7629080411390762,0.022129589917744677,0.9184210526315789,0.1015462177977618,0.8295144951908281,0.03675609143366362,0.5663533834586467,0.04179667658563821,9.0,7.0285133563222315,33.0,7.0285133563222315,9.3,11.576268828944842,104.7,11.576268828944844,0.0,0.0,0.0,0.0,0.29831254482269287,0.008590863850753513,0.11228275299072266,0.00106190129347781,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,4,2,10,0.7314102564102564,0.02756410256410256,0.7531757042240914,0.034162946162454105,0.9526315789473683,0.10469142980937328,0.8357768859119746,0.034496895380994666,0.5417919799498747,0.05464295018296929,5.5,8.663140308225419,36.5,8.663140308225419,5.4,11.934822998268555,108.6,11.934822998268555,0.0,0.0,0.0,0.0,0.29868316650390625,0.009366387761887408,0.11237177848815919,0.0011257423922718067,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,4,3,10,0.7397435897435897,0.025024642687106587,0.7591771905936089,0.030339487189576568,0.9508771929824562,0.08003154195057573,0.8410684724626035,0.024429424466234844,0.5587719298245613,0.05694092734450078,7.0,7.615773105863909,35.0,7.615773105863909,5.6,9.123595782365635,108.4,9.123595782365634,0.0,0.0,0.0,0.0,0.2995231866836548,0.010242115319368198,0.11246674060821533,0.0012450095842772677,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,4,4,10,0.7519230769230769,0.017449561011302822,0.7656470747353518,0.02954423276691398,0.9578947368421054,0.05318423295166358,0.8492785869471247,0.011011977065692942,0.575375939849624,0.06018629488322719,8.1,7.049113419430844,33.9,7.049113419430844,4.8,6.063002556489648,109.2,6.063002556489648,0.0,0.0,0.0,0.0,0.3022688627243042,0.00775086387924599,0.11310060024261474,0.0014938102176791609,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,4,5,10,0.7288461538461539,0.037052169273380585,0.7689262395403295,0.039637881064093536,0.9140350877192983,0.12354415362426843,0.8272558069076883,0.04707795511514247,0.5701127819548871,0.05712653797884887,9.5,9.489467845985885,32.5,9.489467845985885,9.8,14.084033513166604,104.2,14.084033513166604,0.0,0.0,0.0,0.0,0.2987201452255249,0.00925487387815328,0.11264827251434326,0.002124420481679062,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,4,6,10,0.7237179487179487,0.060164277627447735,0.7742091138495057,0.032597993095722665,0.887719298245614,0.14028507229265827,0.8185386284110002,0.06757234870356688,0.5831453634085213,0.052308389799527615,11.7,8.567963585356791,30.3,8.567963585356791,12.8,15.992498241363045,101.2,15.992498241363045,0.0,0.0,0.0,0.0,0.2963155508041382,0.009201282424348915,0.11222994327545166,0.0008625166244933105,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
baseline,5,1,10,0.7205128205128205,0.03245894590044145,0.7559819085096686,0.03508176988728164,0.9263157894736842,0.12706890499811802,0.8249962931073673,0.04183004226602142,0.5441102756892231,0.05335771320773649,6.8,9.703607576566563,35.2,9.703607576566563,8.4,14.485855169785456,105.6,14.485855169785456,0.0,0.0,0.0,0.0,0.2971646785736084,0.008166805909365665,0.110662841796875,0.0015514537555640533,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
