strategy,gan_run_id,num_rows,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,gan_training_time_sec_mean,gan_training_time_sec_std,synthetic_generation_time_sec_mean,synthetic_generation_time_sec_std,classifier_training_time_sec_mean,classifier_training_time_sec_std,classifier_eval_time_sec_mean,classifier_eval_time_sec_std,ratio_mean,ratio_std,synthetic_class0_count_mean,synthetic_class0_count_std,synthetic_class1_count_mean,synthetic_class1_count_std,total_synthetic_count_mean,total_synthetic_count_std,balanced_dataset_size_mean,balanced_dataset_size_std,total_real_samples_mean,total_real_samples_std,real_class0_count_mean,real_class0_count_std,real_class1_count_mean,real_class1_count_std
cgan,1,60,0.5271367521367522,0.1684502147039539,0.8621080667485087,0.07237717536971981,0.4466374269005849,0.3185482631636379,0.5100192140421721,0.2763038709572589,0.5961361737677529,0.06537546931927811,31.316666666666666,11.436041953208967,10.683333333333334,11.436041953208967,63.083333333333336,36.31450200065472,50.916666666666664,36.31450200065472,5.3576014041900635,0.0,0.004160483678181966,0.002010139493210609,0.5025448441505432,0.17232373268209597,0.1164985458056132,0.006438321859183688,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,2,60,0.5774572649572648,0.1864980412145713,0.819774266877777,0.13740051636193087,0.5723684210526317,0.3746638485154739,0.579756073579037,0.30597518592761624,0.5818191311612365,0.06951794073724854,24.833333333333332,15.242666724982506,17.166666666666668,15.242666724982506,48.75,42.71167873076402,65.25,42.71167873076402,5.355651378631592,0.0,0.004064122835795085,0.0019634533840871752,0.5123248219490051,0.1666045628635345,0.11780285835266113,0.0042773438583282655,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,3,60,0.6783119658119658,0.12142031738082973,0.8006385003292531,0.06651692476547859,0.7850877192982456,0.27616258632250246,0.7480149014539957,0.18353184694090738,0.5867898913951546,0.07410159991580724,16.316666666666666,14.73826275002888,25.683333333333334,14.73826275002888,24.5,31.482534840765283,89.5,31.482534840765283,5.3652801513671875,0.0,0.00407870610555013,0.0019791004694359187,0.5195056239763896,0.16739348193117148,0.11840132872263591,0.004047336309844507,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,4,60,0.5386752136752136,0.18327044027108366,0.8227526053566294,0.14984470586535004,0.49561403508771934,0.3741153513170837,0.5222385207765525,0.2996894952210331,0.5755847953216375,0.061985753161409515,27.533333333333335,15.370390004449753,14.466666666666667,15.370390004449753,57.5,42.64915005014754,56.5,42.64915005014754,5.354473352432251,0.0,0.004098057746887207,0.001999236922035818,0.5144383668899536,0.16518813045404487,0.11800623734792073,0.004282624930236615,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,5,60,0.6024572649572649,0.14916990190877558,0.8396820980711325,0.06776612886779104,0.5988304093567252,0.3061217787336731,0.6353997491725125,0.23519724119925728,0.6055659983291561,0.05880635324933518,25.716666666666665,13.09337194495325,16.283333333333335,13.09337194495325,45.733333333333334,34.89788277563873,68.26666666666667,34.89788277563873,5.370307922363281,0.0,0.004068454106648763,0.0019837745381645505,0.5105616052945455,0.1665559634060832,0.11760227282842001,0.0039894849647006255,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,6,60,0.6041666666666666,0.17222656327374486,0.8178253961890829,0.08538717361496398,0.6197368421052631,0.3464813271218467,0.628017057238803,0.2750326118233322,0.5908208020050126,0.06951842388952882,23.6,14.412032010326184,18.4,14.412032010326184,43.35,39.498871291890524,70.65,39.498871291890524,5.362224578857422,0.0,0.004143317540486653,0.002056474989609052,0.5142309625943502,0.16583719639745054,0.11820945342381796,0.004511506914367547,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,7,60,0.7169871794871795,0.07800894020085221,0.7963326710372608,0.04861107362066177,0.8425438596491227,0.1775488941916148,0.8016967854914125,0.10540788460678714,0.6093671679197997,0.07290448035607111,15.8,11.132235474812175,26.2,11.132235474812175,17.95,20.240573937844086,96.05,20.240573937844086,5.370254993438721,0.0,0.004254261652628581,0.002032307186259702,0.5138384501139323,0.1665481617468935,0.11835392316182454,0.004022133615027843,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,8,60,0.6893162393162393,0.09624259911511511,0.8049600001939052,0.06143079838148693,0.7902046783625729,0.22622562501182314,0.7669809966837137,0.14418042289847038,0.6028404344193817,0.07258842163935336,17.45,13.13065751082811,24.55,13.13065751082811,23.916666666666668,25.789721251347835,90.08333333333333,25.789721251347835,5.4179911613464355,0.0,0.004383365313212077,0.0021609860468048314,0.5170888304710388,0.1697188527990601,0.11882528066635131,0.0037988369760498493,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,9,60,0.6044871794871794,0.16212711562764595,0.8348060211082953,0.07497560385656894,0.6116959064327484,0.33456553824476026,0.6306925365493333,0.25891806395085437,0.5983082706766918,0.06378235820211708,24.566666666666666,14.43071569796715,17.433333333333334,14.43071569796715,44.266666666666666,38.14047135990266,69.73333333333333,38.14047135990266,5.458397388458252,0.0,0.0041650136311848955,0.0019941370085184264,0.5226872523625692,0.16777817729476338,0.11853164037068685,0.0037639498670842576,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
cgan,10,60,0.6364316239316239,0.1626070832910304,0.8155606811666295,0.08317926061923818,0.6808479532163744,0.3326674314558581,0.6743897770639918,0.25541762160529674,0.5983604845446951,0.07165981523571967,21.666666666666668,14.556403707265366,20.333333333333332,14.556403707265366,36.38333333333333,37.92408718596783,77.61666666666666,37.92408718596782,5.39758038520813,0.0,0.004108349482218425,0.0020036955486848165,0.5200259606043498,0.16947978406046746,0.11824561754862467,0.004447323519715282,0.2692984084096245,0.00039986204056246155,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
