strategy,strategy_display_name,strategy_index,gan_run_id,generation_run_id,classifier_run_id,ratio,acc,prec,rec,f1,auc,tn,fp,fn,tp,synthetic_class0_count,synthetic_class1_count,total_synthetic_count,balanced_dataset_size,total_real_samples,real_class0_count,real_class1_count,gan_training_time_sec,synthetic_generation_time_sec,classifier_training_time_sec,classifier_eval_time_sec,gan_seed,generation_seed,classifier_seed
wgan,WGAN-GP (classe 0),4,4,1,10,0.2692307692307692,0.6923076923076923,0.7578125,0.8508771929824561,0.8016528925619835,0.556390977443609,11,31,17,97,0,0,0,546,546,147,399,22.280312299728394,0.0,0.3042168617248535,0.11060667037963867,40002028,40006025,44003034
wgan,WGAN-GP (classe 0),4,4,2,1,0.2697947214076246,0.75,0.8048780487804879,0.868421052631579,0.8354430379746836,0.6484962406015038,18,24,15,99,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.378995418548584,0.11549544334411621,40002028,40006026,44004025
wgan,WGAN-GP (classe 0),4,4,2,2,0.2697947214076246,0.7756410256410257,0.7969924812030075,0.9298245614035088,0.8582995951417004,0.6434837092731829,15,27,8,106,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.3752570152282715,0.11325716972351074,40002028,40006026,44004026
wgan,WGAN-GP (classe 0),4,4,2,3,0.2697947214076246,0.7564102564102564,0.7794117647058824,0.9298245614035088,0.848,0.6077694235588973,12,30,8,106,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.3753550052642822,0.11269474029541016,40002028,40006026,44004027
wgan,WGAN-GP (classe 0),4,4,2,4,0.2697947214076246,0.7371794871794872,0.7417218543046358,0.9824561403508771,0.8452830188679246,0.5269423558897243,3,39,2,112,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.37536001205444336,0.11389875411987305,40002028,40006026,44004028
wgan,WGAN-GP (classe 0),4,4,2,5,0.2697947214076246,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.37555909156799316,0.11307978630065918,40002028,40006026,44004029
wgan,WGAN-GP (classe 0),4,4,2,6,0.2697947214076246,0.47435897435897434,0.9210526315789473,0.30701754385964913,0.4605263157894737,0.6177944862155389,39,3,79,35,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.3760087490081787,0.11329269409179688,40002028,40006026,44004030
wgan,WGAN-GP (classe 0),4,4,2,7,0.2697947214076246,0.75,0.7483443708609272,0.9912280701754386,0.8528301886792453,0.543233082706767,4,38,1,113,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.3752267360687256,0.11349105834960938,40002028,40006026,44004031
wgan,WGAN-GP (classe 0),4,4,2,8,0.2697947214076246,0.7564102564102564,0.7794117647058824,0.9298245614035088,0.848,0.6077694235588973,12,30,8,106,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.375180721282959,0.11336183547973633,40002028,40006026,44004032
wgan,WGAN-GP (classe 0),4,4,2,9,0.2697947214076246,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.5119047619047619,1,41,0,114,37,99,136,682,546,147,399,22.280312299728394,0.0030431747436523438,0.3789238929748535,0.11347246170043945,40002028,40006026,44004033
